Index,RecordType,FrameIndex,World,ExecutingSystem,OriginSystem,Entities,ComponentTypes,Data
77,SetComponentData,132,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.22188023477793 DeltaTime=0.0140115}}]"
78,GetBufferRW,132,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
79,SetComponentData,132,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.21666678227484 DeltaTime=0.01666667}}]"
80,GetBufferRW,132,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
81,SetComponentData,132,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.22188023477793 DeltaTime=0.0140115}}]"
82,SetComponentData,133,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.23142143338919 DeltaTime=0.009541199}}]"
83,SetComponentData,134,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.24665453284979 DeltaTime=0.0152331}}]"
84,GetBufferRW,134,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
85,SetComponentData,134,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.23333344981074 DeltaTime=0.01666667}}]"
86,GetBufferRW,134,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
87,SetComponentData,134,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.24665453284979 DeltaTime=0.0152331}}]"
88,SetComponentData,135,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.25577263068408 DeltaTime=0.009118098}}]"
89,GetBufferRW,135,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
90,SetComponentData,135,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.25000011734664 DeltaTime=0.01666667}}]"
91,GetBufferRW,135,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
92,SetComponentData,135,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.25577263068408 DeltaTime=0.009118098}}]"
93,GetBufferRW,135,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
94,SetComponentData,135,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.01144074648619 DeltaTime=0.0715241}}]"
95,GetBufferRW,135,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
96,SetComponentData,135,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.25577263068408 DeltaTime=0.009118098}}]"
97,SetComponentData,136,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.26633203402162 DeltaTime=0.0105594}}]"
98,SetComponentData,137,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.28012212738395 DeltaTime=0.01379009}}]"
99,GetBufferRW,137,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
100,SetComponentData,137,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.26666678488255 DeltaTime=0.01666667}}]"
101,GetBufferRW,137,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
102,SetComponentData,137,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.28012212738395 DeltaTime=0.01379009}}]"
103,SetComponentData,138,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.28947503305972 DeltaTime=0.009352906}}]"
104,GetBufferRW,138,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
105,SetComponentData,138,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.28333345241845 DeltaTime=0.01666667}}]"
106,GetBufferRW,138,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
107,SetComponentData,138,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.28947503305972 DeltaTime=0.009352906}}]"
108,SetComponentData,139,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.29826333373785 DeltaTime=0.008788301}}]"
109,SetComponentData,140,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.31218282785267 DeltaTime=0.01391949}}]"
110,GetBufferRW,140,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
111,SetComponentData,140,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.30000011995435 DeltaTime=0.01666667}}]"
112,GetBufferRW,140,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
113,SetComponentData,140,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.31218282785267 DeltaTime=0.01391949}}]"
114,SetComponentData,141,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.3217345289886 DeltaTime=0.009551701}}]"
115,GetBufferRW,141,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
116,SetComponentData,141,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.31666678749025 DeltaTime=0.01666667}}]"
117,GetBufferRW,141,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
118,SetComponentData,141,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.3217345289886 DeltaTime=0.009551701}}]"
119,GetBufferRW,141,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
120,SetComponentData,141,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.07745154947042 DeltaTime=0.0660108}}]"
121,GetBufferRW,141,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
122,SetComponentData,141,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.3217345289886 DeltaTime=0.009551701}}]"
123,SetComponentData,142,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.3325783284381 DeltaTime=0.0108438}}]"
124,SetComponentData,143,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.34665502887219 DeltaTime=0.0140767}}]"
125,GetBufferRW,143,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
126,SetComponentData,143,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.33333345502615 DeltaTime=0.01666667}}]"
127,GetBufferRW,143,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
128,SetComponentData,143,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.34665502887219 DeltaTime=0.0140767}}]"
129,GetBufferRW,144,"Default World",,,"Scene (Live converted): New Sub Scene (42:1)",Unity.Scenes.ResolvedSectionEntity,
130,SetComponentData,144,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.35745433438569 DeltaTime=0.01079931}}]"
131,GetBufferRW,144,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
132,SetComponentData,144,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.35000012256205 DeltaTime=0.01666667}}]"
133,GetBufferRW,144,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
134,SetComponentData,144,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.35745433438569 DeltaTime=0.01079931}}]"
135,SetComponentData,145,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.37473612930626 DeltaTime=0.01728179}}]"
136,GetBufferRW,145,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
137,SetComponentData,145,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.36666679009795 DeltaTime=0.01666667}}]"
138,GetBufferRW,145,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
139,SetComponentData,145,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.37473612930626 DeltaTime=0.01728179}}]"
140,SetComponentData,146,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.38577673304826 DeltaTime=0.0110406}}]"
141,GetBufferRW,146,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
142,SetComponentData,146,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.38333345763385 DeltaTime=0.01666667}}]"
143,GetBufferRW,146,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
144,SetComponentData,146,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.38577673304826 DeltaTime=0.0110406}}]"
145,SetComponentData,147,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.39555003214628 DeltaTime=0.009773299}}]"
146,GetBufferRW,147,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
147,SetComponentData,147,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.15123154968023 DeltaTime=0.07378}}]"
148,GetBufferRW,147,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
149,SetComponentData,147,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.39555003214628 DeltaTime=0.009773299}}]"
150,SetComponentData,148,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.40876642987132 DeltaTime=0.0132164}}]"
151,GetBufferRW,148,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
152,SetComponentData,148,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.40000012516975 DeltaTime=0.01666667}}]"
153,GetBufferRW,148,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
154,SetComponentData,148,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.40876642987132 DeltaTime=0.0132164}}]"
155,SetComponentData,149,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.41867153160274 DeltaTime=0.009905102}}]"
156,GetBufferRW,149,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
157,SetComponentData,149,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.41666679270566 DeltaTime=0.01666667}}]"
158,GetBufferRW,149,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
159,SetComponentData,149,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.41867153160274 DeltaTime=0.009905102}}]"
160,SetComponentData,150,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.42792843375355 DeltaTime=0.009256902}}]"
161,SetComponentData,151,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.44337992928922 DeltaTime=0.0154515}}]"
162,GetBufferRW,151,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
163,SetComponentData,151,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.43333346024156 DeltaTime=0.01666667}}]"
164,GetBufferRW,151,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
165,SetComponentData,151,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.44337992928922 DeltaTime=0.0154515}}]"
166,SetComponentData,152,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.45636713132262 DeltaTime=0.0129872}}]"
